group	job
Tehnikud ja spetsialistid	Töötleva tööstuse töödejuhatajad
Tehnikud ja spetsialistid	Ehituse töödejuhatajad
Tehnikud ja spetsialistid	Tööstuse protsessijuhtimistehnikud
Tehnikud ja spetsialistid	Biotehnikud (v.a meditsiinivaldkonna tehnikud)
Tehnikud ja spetsialistid	Metsandustehnikud
Tehnikud ja spetsialistid	Laevamehaanikud
Tehnikud ja spetsialistid	Laevajuhid ja lootsid
Tehnikud ja spetsialistid	Piloodid ja lennumeeskonna liikmed
Tehnikud ja spetsialistid	Lennujuhid
Tehnikud ja spetsialistid	Meditsiiniliste kuvamis- ja raviseadmete tehnikud
Tehnikud ja spetsialistid	Meditsiini- ja patoloogialaborite tehnikud
Tehnikud ja spetsialistid	Meditsiiniliste ja hambaproteeside tehnikud
Tehnikud ja spetsialistid	Hambaraviõed ja hambaravi keskastme spetsialistid
Tehnikud ja spetsialistid	Optometristid ja optikud
Tehnikud ja spetsialistid	Abifüsioterapeudid (massöörid)
Tehnikud ja spetsialistid	Abiarstid
Tehnikud ja spetsialistid	Tervisekaitse- ja töötervishoiuinspektorid jms keskastme spetsialistid
Tehnikud ja spetsialistid	Kiirabitehnikud
Tehnikud ja spetsialistid	Krediidi- ja laenuhaldurid
Tehnikud ja spetsialistid	Raamatupidamise keskastme spetsialistid
Tehnikud ja spetsialistid	Statistilise ja matemaatilise arvestuse jms keskastme spetsialistid
Tehnikud ja spetsialistid	Hindajad ja kahjuhindajad
Tehnikud ja spetsialistid	Kindlustusagendid
Tehnikud ja spetsialistid	Müügiesindajad
Tehnikud ja spetsialistid	Varustajad
Tehnikud ja spetsialistid	Tollimaaklerid ja ekspedeerijad
Tehnikud ja spetsialistid	Konverentside ja ürituste korraldajad
Tehnikud ja spetsialistid	Töövahendajad
Tehnikud ja spetsialistid	Kinnisvaramaaklerid ja -haldurid
Tehnikud ja spetsialistid	Kontorijuhatajad
Tehnikud ja spetsialistid	Sekretärid-juhiabid
Tehnikud ja spetsialistid	Valitsuse haldusalade ametnikud
Tehnikud ja spetsialistid	Tolli- ja piiriinspektorid
